"Qty";"Value";"Device";"Package";"Parts";"Description"
"1";"SMA";"BU-SMA-H";"BU-SMA-H";"X1";"FEMALE SMA CONNECTOR"
"3";"0.1uF";"C-US025-024X044";"C025-024X044";"C3, C5, C7";"Ceramic Cap"
"1";"1uF";"C-US025-024X044";"C025-024X044";"C1";"Ceramic Cap"
"2";"4.7uF EC";"CPOL-USE2-5";"E2-5";"C2, C6";"EC"
"1";"10uf EC";"CPOL-USE2-5";"E2-5";"C4";"EC"
"1";"GPS";"LED3MM";"LED3MM";"LED2";"LED orange"
"1";"Pwr";"LED3MM";"LED3MM";"LED1";"LED green"
"1";"RX";"LED3MM";"LED3MM";"LED3";"LED yellow"
"1";"TX";"LED3MM";"LED3MM";"LED4";"LED red"
"1";"LFCN-160";"LFCN";"LFCN";"LPF1";"Mini-Circuits Low Pass Filter, LFCN Series"
"1";"LM2940CS-5";"LM2940";"TO263-3";"IC1";"LM2940-CS-5volt"
"1";"4.7k";"R-US_0204/2V";"0204V";"R3";"Resistor ¼ or 1/8 watt"
"2";"100k";"R-US_0204/2V";"0204V";"R1, R2";"Resistor ¼ or 1/8 watt"
"4";"270";"R-US_0204/2V";"0204V";"R7, R8, R9, R10";"Resistor ¼ or 1/8 watt"
"1";"1k";"R-US_0204/7";"0204/7";"R12";"Resistor ¼ or 1/8 watt"
"1";"2.2k";"R-US_0204/7";"0204/7";"R6";"Resistor ¼ or 1/8 watt"
"1";"3.9k";"R-US_0204/7";"0204/7";"R11";"Resistor ¼ or 1/8 watt"
"1";"8.2k";"R-US_0204/7";"0204/7";"R5";"Resistor ¼ or 1/8 watt"
"1";"270";"R-US_0204/7";"0204/7";"R4";"Resistor ¼ or 1/8 watt"
"1";"DRA818";"DRA818v";"DRA818v";"U1";"DRA818/SA818 VHF/UHF Module"
"1";"Pwr In";"ST02-3.5MM";"ED350V-02P";"T1";"Screw Terminal Block - 2 Way"
"1";"Button";"TACTILE-SWITCH-PTH";"TAC-SWITCH-PTH";"U2";"Tactile Switch 4 Pins, SPST NO"
;"Various";;;;"Headers, Male"
;"Various";;;;"Headers, Female"
